0,1
S155,T1922
S155,T617
S155,T720
S155,T996
S155,T1354
S155,T656
S155,T1520
S155,T1611
S155,T1099
S155,T155
S155,T474
S155,T1554
S1311,T508
S580,T1961
S1782,T1011
S1735,T970
S1735,T2054
S1622,T734
S1622,T343
S1622,T1674
S1035,T43
S1035,T1072
S1035,T774
S1035,T1684
S1035,T982
S1035,T1869
S12,T343
S12,T991
S1526,T1322
S1526,T1975
S1526,T1358
S1078,T610
S739,T970
S739,T923
S1294,T1785
S28,T1839
S1984,T970
S1984,T1735
S1428,T538
S1428,T2046
S1042,T314
S1042,T301
S1042,T1126
S1042,T121
S1042,T884
S1042,T1947
S1042,T343
S1042,T987
S1042,T1098
S1042,T1128
S1714,T1272
S55,T1146
S55,T536
S55,T1779
S55,T612
S55,T1884
S55,T815
S1679,T1744
S1679,T1368
S1679,T481
S1868,T993
S1868,T2101
S589,T1815
S1101,T506
S1101,T1604
S1101,T1846
S1101,T1451
S1101,T343
S1101,T1318
S1101,T172
S1101,T249
S1101,T2010
S1101,T1478
S1101,T965
S1101,T1757
S1193,T547
S1193,T1699
S1193,T1713
S1193,T522
S1193,T1219
S1193,T1025
S1193,T470
S1193,T378
S1193,T207
S1193,T664
S1193,T1789
S1193,T398
S1671,T1795
S1671,T1558
S1584,T982
S1809,T1680
S1954,T882
S1954,T1017
S1661,T258
S1661,T1782
S1661,T651
S1661,T606
S1661,T653
S1808,T882
S829,T2059
S16,T561
S16,T354
S16,T1076
S16,T1348
S16,T1417
S16,T1616
S16,T1785
S16,T704
S16,T353
S16,T871
S84,T448
S84,T193
S71,T1663
S71,T285
S71,T1007
S383,T1135
S1700,T939
S1540,T1785
S1987,T793
S1651,T943
S1651,T1306
S1651,T978
S1651,T838
S1651,T1392
S1651,T602
S1651,T841
S565,T713
S410,T1009
S1604,T707
S1604,T1645
S1604,T2010
S1604,T585
S1604,T1846
S1571,T1251
S1571,T1637
S1571,T1627
S1571,T748
S1571,T1791
S1599,T938
S1599,T613
S1599,T563
S1233,T1294
S1233,T1785
S1233,T229
S1794,T779
S1794,T1517
S6,T514
S6,T1352
S406,T1190
S406,T1979
S406,T497
S406,T1877
S406,T1070
S707,T1645
S707,T1004
S482,T481
S482,T1637
S482,T838
S482,T1696
S482,T1679
S1436,T1988
S1436,T718
S1436,T1924
S1659,T1137
S1659,T1881
S1810,T1839
S737,T2069
S1147,T522
S1147,T310
S1147,T1637
S112,T916
S112,T199
S112,T1771
S112,T141
S112,T1221
S112,T855
S112,T1210
S112,T719
S112,T1026
S19,T1785
S1745,T1999
S1226,T882
S1226,T899
S421,T1517
S421,T2004
S1529,T1680
S1529,T2018
S942,T942
S551,T2075
S551,T564
S550,T780
S550,T1820
S885,T2054
S1543,T1954
S274,T793
S274,T1949
S831,T1945
S831,T1327
S1865,T1746
S653,T258
S653,T1782
S653,T1011
S349,T538
S1827,T984
S1827,T1013
S506,T707
