0,1
P430,S817
P430,S7595
P430,S1055
P430,S831
P1,S430
P1,S3134
P1,S3026
P1,S3010
P1,S804
P1,S160
P1,S95
P1,S377
P1,S888
P1,S89
P1,S1901
P1,S161
P1,S256
P1,S351
P1,S3329
P1,S3341
P1,S649
P1,S1583
P1,S87
P1,S37
P1,S309
P1,S821
P1,S1496
P1,S637
P1,S964
P1,S594
P1,S2249
P1,S554
P1,S20
P1,S2227
P1,S1315
P1,S519
P1,S1316
P1,S2149
P1,S1724
P1,S18
P1,S57
P1,S118
P1,S3254
P1,S1177
P1,S112
P1,S11
P1,S586
P1,S35
P1,S15
P1,S1445
P1,S152
P1,S2
P1,S113
P1,S44
P1,S2401
P1,S10
P1,S2378
P1,S126
P1,S3245
P1,S783
P1,S493
P1,S1358
P1,S1180
P1,S529
P1,S333
P1,S1538
P1,S2282
P1,S1519
P1,S2966
P1,S474
P1,S330
P1,S958
P1,S17
P1,S1295
P1,S38
P1,S1952
P1,S223
P1,S625
P1,S1392
P1,S3355
P1,S1881
P1,S58
P1,S96
P1,S1580
P1,S196
P1,S146
P1,S416
P1,S1198
P1,S3319
P1,S1867
P1,S896
P1,S617
P1,S3300
P1,S1877
P1,S462
P1,S3279
P1,S454
P1,S1860
P1,S121
P1,S151
P1,S1570
P1,S1573
P1,S1063
P1,S1353
P1,S459
P1,S2334
P1,S1267
P1,S1060
P1,S1061
P1,S7431
P1,S1355
P1,S71
P1,S3070
P1,S2113
P1,S3001
P1,S396
P1,S2260
P1,S142
P1,S2238
P1,S123
P1,S2942
P1,S1509
P1,S7410
P1,S1760
P1,S2876
P1,S259
P1,S1493
P1,S2845
P1,S370
P1,S2844
P1,S2167
P1,S156
P1,S2808
P1,S255
P1,S736
P1,S7603
P1,S346
P1,S9
P1,S75
P1,S175
P1,S2754
P1,S22
P1,S155
P1,S1261
P1,S2552
P1,S2586
P1,S710
P1,S578
P1,S472
P1,S2472
P1,S1606
P1,S4
P1,S563
P1,S744
P1,S3422
P1,S250
P1,S249
P1,S2427
P1,S3414
P1,S1590
P1,S2305
P1,S1900
P1,S3392
P1,S1065
P1,S1147
P1,S1072
P1,S3375
P1,S1024
P1,S709
P1,S1382
P1,S3332
P1,S1885
P1,S3330
P1,S1197
P1,S3316
P1,S1886
P1,S154
P1,S1522
P1,S2391
P1,S3298
P1,S432
P1,S3292
P1,S3290
P1,S7597
P1,S3274
P1,S1875
P1,S291
P1,S158
P1,S1579
P1,S1846
P1,S1066
P1,S290
P1,S3233
P1,S891
P1,S247
P1,S1856
P1,S3211
P1,S115
P1,S1365
P1,S483
P1,S3210
P1,S3189
P1,S3193
P1,S2352
P1,S1847
P1,S3173
P1,S1051
P1,S1843
P1,S2342
P1,S7341
P1,S3139
P1,S1186
P1,S3167
P1,S3149
P1,S1842
P1,S3156
P1,S3141
P1,S817
P1,S1840
P1,S1839
P1,S2324
P1,S3143
P1,S3142
P1,S174
P1,S2315
P1,S1356
P1,S1835
P1,S296
P1,S3118
P1,S1542
P1,S3111
P1,S753
P1,S3088
P1,S395
P1,S3068
P1,S3042
P1,S1442
P1,S1339
P1,S596
P1,S2281
P1,S222
P1,S194
P1,S3064
P1,S1812
P1,S1796
P1,S701
P1,S124
P1,S3057
P1,S7427
P1,S2276
P1,S2271
P1,S1525
P1,S2235
P1,S3027
P1,S2090
P1,S1342
P1,S331
P1,S3023
P1,S2261
P1,S68
P1,S116
P1,S1043
P1,S3020
P1,S491
P1,S179
P1,S2252
P1,S214
P1,S439
P1,S2147
P1,S1167
P1,S697
P1,S67
P1,S1793
P1,S258
P1,S1340
P1,S2996
P1,S1520
P1,S1336
P1,S30
P1,S178
P1,S747
P1,S2962
P1,S2952
P1,S455
P1,S260
P1,S623
P1,S29
P1,S1510
P1,S2927
P1,S301
P1,S2907
P1,S2909
P1,S1148
P1,S955
P1,S1502
P1,S2853
P1,S1500
P1,S2178
P1,S1320
P1,S874
P1,S2177
P1,S2892
P1,S636
P1,S1034
P1,S1494
P1,S276
P1,S1318
P1,S117
P1,S1492
P1,S1302
P1,S1313
P1,S1491
P1,S2870
P1,S2181
P1,S1309
P1,S1750
P1,S2848
P1,S1458
P1,S951
P1,S1029
P1,S2176
P1,S2846
P1,S347
P1,S2173
P1,S2826
P1,S1742
P1,S2166
P1,S2823
P1,S2820
P1,S2814
P1,S1736
P1,S1025
P1,S1482
P1,S1483
P1,S2152
P1,S2806
P1,S1128
P1,S2801
P1,S2795
P1,S1290
P1,S1288
P1,S1436
P1,S2498
P1,S2784
P1,S587
P1,S2780
P1,S2779
P1,S305
P1,S944
P1,S2129
P1,S683
P1,S42
P1,S1136
P1,S1283
P1,S2127
P1,S2093
P1,S1284
P1,S72
P1,S264
P1,S2756
P1,S1285
P1,S613
P1,S304
P1,S1282
P1,S4721
P1,S1475
P1,S2746
P1,S1715
P1,S734
P1,S2108
P1,S1923
P1,S1465
P1,S2742
P1,S2117
P1,S1720
P1,S90
P1,S2731
P1,S1457
P1,S2725
P1,S2109
P1,S543
P1,S2102
P1,S712
P1,S231
P1,S2687
P1,S1708
P1,S1129
P1,S76
P1,S2065
P1,S1251
P1,S1248
P1,S725
P1,S2559
P1,S507
P1,S1942
P1,S1232
P1,S534
P1,S994
P1,S503
P1,S2448
P1,S846
P3134,S1
P3134,S22
P3026,S1
P3010,S1
P804,S1
P804,S85
P804,S25
P804,S7583
P804,S26
P804,S204
P804,S1020
P160,S1
P160,S89
P160,S18
P160,S57
P160,S817
P160,S952
P160,S945
P160,S7579
P160,S1845
P95,S1
P95,S11
P95,S15
P95,S2
P95,S493
P95,S38
P95,S58
P95,S96
P95,S396
P95,S123
P95,S75
P95,S4
P95,S1065
P95,S174
P95,S331
P95,S179
P95,S67
P95,S30
P95,S29
P95,S244
P95,S62
P95,S185
P95,S108
P95,S40
P95,S177
P95,S31
P95,S8
P95,S242
P95,S24
P95,S19
P95,S7
P95,S73
P95,S85
P95,S2336
P95,S241
P95,S43
P95,S553
P95,S93
P95,S25
P95,S13
P95,S3
P95,S92
P95,S6
P95,S287
P95,S56
P95,S172
P95,S88
P95,S136
P95,S752
P95,S345
P95,S288
P95,S205
P95,S7432
P95,S5679
P95,S1348
P95,S33
P95,S411
P95,S191
P95,S391
P95,S82
P95,S245
P95,S526
P95,S278
P95,S666
P95,S1171
P95,S882
P95,S362
P95,S2358
P95,S2330
P95,S315
P95,S413
P95,S941
P95,S1307
P95,S966
P95,S428
P95,S246
P95,S1370
P95,S332
P95,S1278
P95,S643
P95,S813
P95,S464
P95,S2380
P95,S1045
P95,S3179
P95,S2410
P95,S3403
P95,S1889
P95,S3246
P95,S2304
P377,S1
P377,S399
P377,S363
P377,S3413
P888,S1
P888,S58
P888,S1886
P888,S213
P89,S1
P89,S160
P89,S37
P89,S519
P89,S2
P89,S10
P89,S121
P89,S1267
P89,S175
P89,S154
P89,S395
P89,S124
P89,S29
P89,S587
P89,S90
P89,S1708
P89,S373
P89,S85
P89,S45
P89,S77
P89,S21
P89,S203
P89,S302
P89,S3774
P89,S122
P89,S946
P89,S253
P89,S699
P89,S132
P89,S48
P89,S945
P89,S369
P89,S406
P89,S516
P89,S2097
P89,S254
P89,S28
P89,S931
P89,S629
P89,S2043
P89,S1193
P89,S2269
P89,S1690
P89,S2628
P89,S2625
P89,S2623
P89,S1453
P89,S2033
P1901,S1
P161,S2
P161,S10
P161,S454
P161,S156
P161,S260
P161,S623
P161,S1494
P161,S1313
P161,S1505
P161,S31
P161,S7
P161,S798
P161,S43
P161,S77
P161,S103
P161,S1322
P161,S695
P161,S204
P161,S2209
P161,S7600
P161,S592
P161,S78
P161,S1324
P161,S69
P161,S550
P161,S690
P161,S635
P161,S1140
P161,S520
P161,S1022
P161,S1039
P161,S1770
P161,S2213
P161,S1765
P256,S1
P256,S18
P256,S57
P256,S38
P256,S121
P256,S156
P256,S7603
P256,S346
P256,S9
P256,S75
P256,S175
P256,S67
P256,S42
P256,S60
P256,S40
P256,S236
P256,S65
P256,S632
P256,S479
P256,S4934
P256,S943
P256,S329
P256,S69
P256,S485
P256,S947
P256,S1739
P256,S1970
P256,S2792
P256,S2790
P351,S1
P351,S58
P351,S96
P351,S432
P351,S222
P351,S3
P351,S34
P351,S120
P351,S36
P351,S82
P351,S759
P351,S7560
P351,S1893
P351,S1594
P3329,S1
P3341,S1
P649,S1
P649,S118
P649,S123
P649,S1885
P649,S1197
P649,S34
P649,S105
P649,S125
P649,S650
P649,S12
P649,S33
P649,S1192
P649,S310
P1583,S1
P87,S1
P87,S309
P87,S11
P87,S15
P87,S2
P87,S58
P87,S96
P87,S454
P87,S259
P87,S154
P87,S291
P87,S158
P87,S395
P87,S67
P87,S42
P87,S19
P87,S85
P87,S269
P87,S206
P87,S241
P87,S1156
P87,S424
P87,S3
P87,S163
P87,S702
P87,S288
P87,S27
P87,S33
P87,S572
P87,S191
P87,S602
P87,S280
P87,S526
P87,S104
P87,S98
P87,S7398
P87,S707
P87,S592
P87,S7412
P87,S824
P87,S397
P87,S64
P87,S86
P87,S192
P87,S2417
P87,S1863
P87,S1381
P87,S2155
P87,S1045
P87,S1884
P87,S3318
P87,S3306
P87,S1880
P87,S2080
P37,S89
P37,S594
P37,S20
P37,S15
P37,S152
P37,S2
P37,S113
P37,S10
P37,S474
P37,S38
P37,S9
P37,S75
P37,S22
P37,S4
P37,S1025
P37,S7403
P37,S159
P37,S185
P37,S312
P37,S168
P37,S91
P37,S40
P37,S54
P37,S31
P37,S561
P37,S1632
P37,S140
P37,S166
P37,S25
P37,S21
P37,S7400
P37,S14
P37,S16
P37,S380
P37,S314
P37,S1351
P37,S28
P37,S1764
P37,S657
P37,S297
P37,S610
P37,S990
P37,S1076
P37,S7371
P37,S1399
P37,S1926
P309,S1
P309,S87
P309,S637
P309,S3254
P309,S11
P309,S1180
P309,S416
P309,S1353
P309,S1885
P309,S3274
P309,S42
P309,S292
P309,S5
P309,S3
P309,S92
P309,S125
P309,S702
P309,S248
P309,S759
P309,S894
P309,S3334
P309,S3172
P821,S1
P821,S92
P821,S334
P821,S648
P1496,S1
P1496,S330
P637,S1
P637,S309
P637,S58
P637,S432
P637,S52
P637,S7
P637,S759
P964,S1
P964,S30
P964,S33
P964,S162
P964,S122
P964,S46
P594,S1
P594,S37
P594,S18
P594,S1522
P594,S1582
P2249,S1
P554,S1
P554,S8
P554,S1523
P554,S600
P20,S1
P20,S37
P20,S11
P20,S586
P20,S15
P20,S152
P20,S2
P20,S17
P20,S38
P20,S7603
P20,S9
P20,S22
P20,S155
P20,S491
P20,S30
P20,S304
P20,S231
P20,S52
P20,S159
P20,S66
P20,S108
P20,S31
P20,S47
P20,S272
P20,S133
P20,S211
P20,S1127
P20,S489
P20,S70
P20,S65
P20,S14
P20,S13
P20,S6
P20,S26
P20,S88
P20,S131
P20,S807
P20,S372
P20,S122
P20,S198
P20,S7517
P20,S892
P20,S176
P20,S267
P20,S1145
P20,S870
P20,S212
P20,S729
P20,S1042
P20,S730
P20,S1771
P20,S7547
P20,S1269
P2227,S1
P1315,S1
P1315,S793
P519,S1
P519,S89
P519,S146
P519,S142
P519,S1288
P519,S6
P519,S49
P519,S27
P519,S110
P519,S946
P519,S1164
P519,S453
P519,S745
P519,S2899
P1316,S1
P2149,S1
P2149,S943
P1724,S1
P1724,S14
P18,S1
P18,S160
P18,S256
P18,S594
P18,S57
P18,S2
P18,S38
P18,S454
P18,S121
P18,S151
P18,S736
P18,S7603
P18,S346
P18,S154
P18,S1442
P18,S194
P18,S1525
P18,S455
P18,S260
P18,S874
P18,S117
P18,S1284
P18,S72
P18,S613
P18,S543
P18,S91
P18,S40
P18,S74
P18,S79
P18,S26
P18,S33
P18,S437
P18,S274
P18,S733
P18,S386
P18,S384
P18,S7565
P18,S2139
P18,S50
P18,S542
P18,S945
P18,S1305
P18,S243
P18,S872
P18,S1170
P18,S860
P18,S1306
P18,S220
P18,S690
P18,S868
P18,S1130
P18,S2199
P18,S1800
P18,S2228
P18,S866
P18,S1703
P18,S1564
P18,S1526
P18,S1164
P18,S2200
P18,S2803
P18,S7372
P18,S630
P18,S2091
P18,S1271
P18,S2693
P18,S729
P18,S2086
P18,S3053
P18,S954
P18,S2961
P18,S2690
P18,S2118
P18,S2758
P18,S2097
P18,S1477
P18,S2106
P18,S2710
P57,S1
P57,S160
P57,S256
P57,S18
P57,S10
P57,S38
P57,S346
P57,S75
P57,S2552
P57,S1442
P57,S874
P57,S2892
P57,S117
P57,S1742
P57,S2093
P57,S304
P57,S994
P57,S79
P57,S150
P57,S109
P57,S389
P57,S65
P57,S437
P57,S583
P57,S664
P57,S323
P57,S716
P57,S614
P57,S7564
P57,S50
P57,S872
P57,S630
P57,S2118
P57,S2106
P57,S7579
P57,S1689
P57,S793
P57,S1728
P57,S1480
P57,S2160
P57,S1733
P57,S2120
P57,S1719
P57,S2098
P57,S252
P57,S2656
P57,S2137
P57,S2107
P57,S2576
P57,S2508
P57,S357
P57,S2637
P57,S2595
P57,S1963
P57,S1657
P118,S1
P118,S649
P118,S10
P118,S58
P118,S1580
P118,S7597
P118,S158
P118,S115
P118,S222
P118,S214
P118,S72
P118,S292
P118,S375
P118,S8
P118,S19
P118,S85
P118,S43
P118,S5
P118,S238
P118,S103
P118,S34
P118,S32
P118,S105
P118,S36
P118,S163
P118,S125
P118,S12
P118,S27
P118,S603
P118,S82
P118,S528
P118,S706
P118,S141
P118,S526
P118,S398
P118,S822
P3254,S1
P3254,S309
P3254,S1147
P3254,S432
P3254,S19
P3254,S3
P3254,S36
P3254,S433
P3254,S191
P1177,S1
P1177,S243
P112,S1
P112,S396
P112,S701
P112,S124
P112,S2276
P112,S116
P112,S1043
P112,S697
P112,S30
P112,S301
P112,S177
P112,S73
P112,S13
P112,S6
P112,S26
P112,S56
P112,S7595
P112,S33
P112,S524
P112,S427
P112,S3031
P11,S1
P11,S95
P11,S309
P11,S20
P11,S18
P11,S10
P11,S17
P11,S123
P11,S1760
P11,S1493
P11,S2167
P11,S156
P11,S255
P11,S7603
P11,S22
P11,S155
P11,S4
P11,S154
P11,S7597
P11,S290
P11,S124
P11,S1342
P11,S116
P11,S491
P11,S258
P11,S30
P11,S260
P11,S623
P11,S29
P11,S1034
P11,S276
P11,S347
P11,S42
P11,S72
P11,S264
P11,S304
P11,S90
P11,S292
P11,S2217
P11,S66
P11,S51
P11,S185
P11,S8
P11,S412
P11,S216
P11,S681
P11,S79
P11,S272
P11,S39
P11,S150
P11,S348
P11,S133
P11,S45
P11,S190
P11,S798
P11,S211
P11,S777
P11,S173
P11,S43
P11,S1156
P11,S145
P11,S77
P11,S166
P11,S25
P11,S83
P11,S1487
P11,S871
P11,S544
P11,S65
P11,S21
P11,S14
P11,S13
P11,S318
P11,S3
P11,S103
P11,S207
P11,S6
P11,S34
P11,S262
P11,S105
P11,S36
P11,S197
P11,S88
P11,S49
P11,S7377
P11,S320
P11,S228
P11,S1379
P11,S345
P11,S295
P11,S12
P11,S203
P11,S205
P11,S135
P11,S100
P11,S162
P11,S131
P11,S423
P11,S326
P11,S193
P11,S411
P11,S153
P11,S248
P11,S372
P11,S122
P11,S1068
P11,S82
P11,S801
P11,S198
P11,S245
P11,S310
P11,S280
P11,S759
P11,S7563
P11,S408
P11,S7536
P11,S7562
P11,S253
P11,S687
P11,S487
P11,S308
P11,S1159
P11,S694
P11,S128
P11,S739
P11,S360
P11,S1883
P11,S593
P11,S78
P11,S7328
P11,S267
P11,S316
P11,S409
P11,S187
