,0,1
0,S155,T1922
1,S155,T617
2,S155,T720
3,S155,T996
4,S155,T1354
5,S155,T656
6,S155,T1520
7,S155,T1611
8,S155,T1099
9,S155,T155
10,S155,T474
11,S155,T1554
12,S1311,T508
13,S580,T1961
14,S1782,T1011
15,S1735,T970
16,S1735,T2054
17,S1622,T734
18,S1622,T343
19,S1622,T1674
20,S1035,T43
21,S1035,T1072
22,S1035,T774
23,S1035,T1684
24,S1035,T982
25,S1035,T1869
26,S12,T343
27,S12,T991
28,S1526,T1322
29,S1526,T1975
30,S1526,T1358
31,S1078,T610
32,S739,T970
33,S739,T923
34,S1294,T1785
35,S28,T1839
36,S1984,T970
37,S1984,T1735
38,S1428,T538
39,S1428,T2046
40,S1042,T314
41,S1042,T301
42,S1042,T1126
43,S1042,T121
44,S1042,T884
45,S1042,T1947
46,S1042,T343
47,S1042,T987
48,S1042,T1098
49,S1042,T1128
50,S1714,T1272
51,S55,T1146
52,S55,T536
53,S55,T1779
54,S55,T612
55,S55,T1884
56,S55,T815
57,S1679,T1744
58,S1679,T1368
59,S1679,T481
60,S1868,T993
61,S1868,T2101
62,S589,T1815
63,S1101,T506
64,S1101,T1604
65,S1101,T1846
66,S1101,T1451
67,S1101,T343
68,S1101,T1318
69,S1101,T172
70,S1101,T249
71,S1101,T2010
72,S1101,T1478
73,S1101,T965
74,S1101,T1757
75,S1193,T547
76,S1193,T1699
77,S1193,T1713
78,S1193,T522
79,S1193,T1219
80,S1193,T1025
81,S1193,T470
82,S1193,T378
83,S1193,T207
84,S1193,T664
85,S1193,T1789
86,S1193,T398
87,S1671,T1795
88,S1671,T1558
89,S1584,T982
90,S1809,T1680
91,S1954,T882
92,S1954,T1017
93,S1661,T258
94,S1661,T1782
95,S1661,T651
96,S1661,T606
97,S1661,T653
98,S1808,T882
99,S829,T2059
100,S16,T561
101,S16,T354
102,S16,T1076
103,S16,T1348
104,S16,T1417
105,S16,T1616
106,S16,T1785
107,S16,T704
108,S16,T353
109,S16,T871
110,S84,T448
111,S84,T193
112,S71,T1663
113,S71,T285
114,S71,T1007
115,S383,T1135
116,S1700,T939
117,S1540,T1785
118,S1987,T793
119,S1651,T943
120,S1651,T1306
121,S1651,T978
122,S1651,T838
123,S1651,T1392
124,S1651,T602
125,S1651,T841
126,S565,T713
127,S410,T1009
128,S1604,T707
129,S1604,T1645
130,S1604,T2010
131,S1604,T585
132,S1604,T1846
133,S1571,T1251
134,S1571,T1637
135,S1571,T1627
136,S1571,T748
137,S1571,T1791
138,S1599,T938
139,S1599,T613
140,S1599,T563
141,S1233,T1294
142,S1233,T1785
143,S1233,T229
144,S1794,T779
145,S1794,T1517
146,S6,T514
147,S6,T1352
148,S406,T1190
149,S406,T1979
150,S406,T497
151,S406,T1877
152,S406,T1070
153,S707,T1645
154,S707,T1004
155,S482,T481
156,S482,T1637
157,S482,T838
158,S482,T1696
159,S482,T1679
160,S1436,T1988
161,S1436,T718
162,S1436,T1924
163,S1659,T1137
164,S1659,T1881
165,S1810,T1839
166,S737,T2069
167,S1147,T522
168,S1147,T310
169,S1147,T1637
170,S112,T916
171,S112,T199
172,S112,T1771
173,S112,T141
174,S112,T1221
175,S112,T855
176,S112,T1210
177,S112,T719
178,S112,T1026
179,S19,T1785
180,S1745,T1999
181,S1226,T882
182,S1226,T899
183,S421,T1517
184,S421,T2004
185,S1529,T1680
186,S1529,T2018
187,S942,T942
188,S551,T2075
189,S551,T564
190,S550,T780
191,S550,T1820
192,S885,T2054
193,S1543,T1954
194,S274,T793
195,S274,T1949
196,S831,T1945
197,S831,T1327
198,S1865,T1746
199,S653,T258
200,S653,T1782
201,S653,T1011
202,S349,T538
203,S1827,T984
204,S1827,T1013
205,S506,T707
206,S506,T699
207,S506,T1645
208,S506,T2010
209,S506,T613
210,S506,T1846
211,S1757,T585
212,S1757,T1645
213,S1757,T2010
214,S1757,T965
215,S1757,T1846
216,S327,T1696
217,S1132,T1941
218,S1132,T2016
219,S1525,T1799
220,S1199,T930
221,S1275,T1900
222,S1331,T652
223,S142,T1891
224,S1360,T1089
225,S1360,T1922
226,S1557,T508
227,S574,T2101
228,S574,T734
229,S510,T884
230,S1780,T957
231,S180,T1827
232,S151,T709
233,S151,T941
234,S151,T270
235,S108,T743
236,S1202,T1205
237,S1202,T1827
238,S519,T2028
239,S519,T673
240,S744,T882
241,S744,T1522
242,S119,T1839
243,S477,T153
244,S477,T211
245,S477,T957
246,S477,T789
247,S477,T1616
248,S477,T82
249,S477,T220
250,S610,T1871
251,S610,T1787
252,S610,T957
253,S1616,T957
254,S1616,T1942
255,S36,T1103
256,S36,T343
257,S36,T715
258,S561,T1942
259,S644,T649
260,S644,T2081
261,S644,T1995
262,S644,T1930
263,S644,T930
264,S644,T644
265,S2081,T930
266,S2081,T1930
267,S2081,T1995
268,S307,T343
269,S307,T1859
270,S497,T981
271,S249,T1451
272,S249,T2010
273,S249,T848
274,S249,T343
275,S249,T1846
276,S1704,T981
277,S1053,T343
278,S1053,T1098
279,S74,T343
280,S670,T1367
281,S670,T276
282,S43,T955
283,S43,T811
284,S143,T103
285,S143,T849
286,S143,T1945
287,S619,T692
288,S619,T794
289,S13,T324
290,S13,T543
291,S1688,T277
292,S1688,T683
293,S1688,T1381
294,S1688,T1002
295,S1688,T800
296,S1688,T343
297,S1910,T1553
298,S802,T2050
299,S768,T946
300,S1251,T1637
301,S1251,T1541
302,S504,T1132
303,S504,T1503
304,S504,T1611
305,S699,T1343
306,S699,T1645
307,S699,T707
308,S1348,T1942
309,S1106,T1252
310,S1106,T846
311,S1106,T1739
312,S636,T908
313,S636,T947
314,S613,T1809
315,S613,T892
316,S613,T695
317,S613,T1953
318,S654,T1785
319,S270,T916
320,S270,T343
321,S270,T1256
322,S270,T1026
323,S786,T1170
324,S786,T877
325,S585,T2043
326,S585,T1004
327,S1170,T2037
328,S1544,T1572
329,S1544,T1785
330,S608,T1785
331,S2098,T1603
332,S1075,T1960
333,S1075,T1134
334,S757,T1785
335,S757,T258
336,S2038,T418
337,S2038,T1696
338,S2038,T1846
339,S1531,T397
340,S312,T1878
341,S312,T889
342,S1247,T400
343,S1031,T1941
344,S1031,T37
345,S1031,T377
346,S1031,T2016
347,S774,T799
348,S774,T944
349,S1110,T893
350,S1110,T258
351,S665,T665
352,S665,T1715
353,S1063,T755
354,S1063,T766
355,S189,T416
356,S189,T1367
357,S359,T360
358,S359,T2054
359,S359,T657
360,S1201,T1924
361,S73,T277
362,S73,T343
363,S73,T1266
364,S939,T1553
365,S91,T255
366,S91,T1282
367,S1070,T522
368,S1070,T552
369,S1070,T2058
370,S1070,T1359
371,S1070,T2009
372,S1070,T1545
373,S859,T2018
374,S1328,T1463
375,S226,T1517
376,S226,T718
377,S1148,T397
378,S524,T704
379,S1883,T1746
380,S1479,T1892
381,S1479,T68
382,S1479,T890
383,S1252,T1446
384,S1234,T1549
385,S1580,T800
386,S893,T2054
387,S1512,T1891
388,S1512,T718
389,S1512,T1924
390,S1835,T957
391,S1638,T1842
392,S1084,T1196
393,S1084,T277
394,S1084,T1381
395,S1084,T849
396,S1084,T343
397,S1084,T1134
398,S267,T806
399,S1614,T1723
400,S2048,T248
401,S2048,T343
402,S1748,T988
403,S1561,T884
404,S1561,T526
405,S1561,T563
406,S1561,T952
407,S1406,T343
408,S1378,T1256
409,S1094,T993
410,S1094,T1741
411,S1094,T381
412,S1094,T752
413,S1822,T1620
414,S1822,T960
415,S115,T1345
416,S115,T221
417,S115,T1504
418,S115,T323
419,S115,T2038
420,S115,T482
421,S115,T327
422,S1979,T1779
423,S1979,T522
424,S1979,T1844
425,S1979,T726
426,S1979,T981
427,S1979,T497
428,S1340,T1448
