,0,1
0,S4,T0
1,S4,T27
2,S4,T46
3,S4,T50
4,S4,T58
5,S4,T59
6,S4,T71
7,S4,T77
8,S4,T86
9,S4,T87
10,S4,T89
11,S4,T24
12,S4,T37
13,S4,T56
14,S4,T61
15,S4,T64
16,S4,T79
17,S4,T88
18,S4,T3
19,S4,T30
20,S4,T16
21,S4,T25
22,S4,T48
23,S4,T53
24,S4,T55
25,S4,T149
26,S4,T179
27,S4,T243
28,S4,T293
29,S4,T401
30,S0,T4
31,S0,T9
32,S0,T11
33,S0,T13
34,S0,T18
35,S0,T27
36,S0,T29
37,S0,T33
38,S0,T38
39,S0,T45
40,S0,T46
41,S0,T50
42,S0,T57
43,S0,T58
44,S0,T59
45,S0,T71
46,S0,T74
47,S0,T76
48,S0,T77
49,S0,T85
50,S0,T86
51,S0,T87
52,S0,T202
53,S0,T315
54,S0,T341
55,S0,T374
56,S9,T18
57,S9,T46
58,S9,T76
59,S9,T85
60,S9,T87
61,S9,T2
62,S9,T24
63,S9,T42
64,S9,T56
65,S9,T61
66,S9,T64
67,S9,T79
68,S9,T88
69,S9,T90
70,S9,T15
71,S9,T48
72,S9,T55
73,S9,T14
74,S9,T65
75,S9,T109
76,S9,T126
77,S9,T279
78,S9,T394
79,S11,T13
80,S11,T27
81,S11,T46
82,S11,T74
83,S11,T1
84,S11,T20
85,S11,T21
86,S11,T26
87,S11,T40
88,S11,T51
89,S11,T52
90,S11,T66
91,S11,T89
92,S11,T24
93,S11,T68
94,S11,T82
95,S11,T30
96,S11,T422
97,S11,T48
98,S11,T7
99,S11,T439
100,S11,T65
101,S11,T10
102,S11,T12
103,S11,T75
104,S11,T84
105,S11,T329
106,S11,T336
107,S11,T383
108,S13,T11
109,S13,T59
110,S13,T17
111,S13,T20
112,S13,T73
113,S13,T64
114,S13,T68
115,S13,T90
116,S13,T8
117,S13,T15
118,S13,T16
119,S13,T53
120,S13,T55
121,S13,T44
122,S13,T12
123,S13,T84
124,S13,T117
125,S13,T355
126,S18,T0
127,S18,T9
128,S18,T27
129,S18,T46
130,S18,T50
131,S18,T57
132,S18,T59
133,S18,T74
134,S18,T17
135,S18,T26
136,S18,T73
137,S18,T89
138,S18,T2
139,S18,T37
140,S18,T42
141,S18,T54
142,S18,T56
143,S18,T61
144,S18,T68
145,S18,T79
146,S18,T25
147,S18,T48
148,S18,T55
149,S18,T43
150,S18,T28
151,S27,T4
152,S27,T57
153,S27,T59
154,S27,T74
155,S27,T76
156,S27,T77
157,S27,T26
158,S27,T31
159,S27,T52
