,0,1
0,S30,T3
1,S30,T25
2,S30,T6
3,S30,T8
4,S30,T19
5,S30,T23
6,S30,T4
7,S30,T10
8,S30,T5
9,S30,T7
10,S30,T9
11,S30,T11
12,S30,T15
13,S30,T12
14,S30,T13
15,S30,T14
16,S30,T16
17,S30,T17
18,S30,T18
19,S30,T20
20,S30,T21
21,S30,T22
22,S30,T24
23,S1412,T30
24,S1412,T1248
25,S1412,T150
26,S1412,T11
27,S1412,T853
28,S1412,T946
29,S1412,T1006
30,S1412,T1407
31,S1412,T1411
32,S1412,T16
33,S1412,T173
34,S1412,T199
35,S1412,T1403
36,S1412,T646
37,S1412,T996
38,S1412,T1009
39,S1412,T1210
40,S1412,T1235
41,S1412,T1278
42,S1412,T1335
43,S1412,T1338
44,S1412,T1346
45,S1412,T1355
46,S1412,T1404
47,S1412,T1405
48,S1412,T1406
49,S1412,T1408
50,S1412,T1409
51,S1412,T1410
52,S3352,T30
53,S3352,T371
54,S3352,T127
55,S3352,T306
56,S3352,T310
57,S3352,T325
58,S3352,T600
59,S3352,T432
60,S3352,T447
61,S3352,T789
62,S3352,T813
63,S3352,T993
64,S3352,T1032
65,S3352,T1062
66,S3352,T1167
67,S3352,T1549
68,S3352,T2651
69,S3352,T2909
70,S3352,T36
71,S3352,T749
72,S3352,T844
73,S3352,T1717
74,S3352,T11
75,S3352,T72
76,S3352,T763
77,S3352,T805
78,S3352,T825
79,S3352,T1075
80,S3352,T1097
81,S3352,T1111
82,S3352,T1127
83,S3352,T1151
84,S3352,T1286
85,S3352,T1305
86,S3352,T1353
87,S3352,T1374
88,S3352,T1550
89,S3352,T1608
90,S3352,T1769
91,S3352,T1835
92,S3352,T2237
93,S3352,T2257
94,S3352,T2289
95,S3352,T2328
96,S3352,T2381
97,S3352,T2485
98,S3352,T2535
99,S3352,T2544
100,S3352,T2565
101,S3352,T2595
102,S3352,T2655
103,S3352,T2696
104,S3352,T2775
105,S3352,T2859
106,S3352,T2871
107,S3352,T2958
108,S3352,T3010
109,S3352,T3026
110,S3352,T3028
111,S3352,T3084
112,S3352,T3144
113,S3352,T3258
114,S3352,T3291
115,S3352,T3394
116,S3352,T3404
117,S3352,T3433
118,S3352,T3447
119,S3352,T3452
120,S3352,T3453
121,S3352,T3454
122,S3352,T3463
123,S3352,T3480
124,S3352,T3568
125,S3352,T3607
126,S3352,T3615
127,S3352,T3631
128,S3352,T3635
129,S3352,T3660
130,S3352,T3661
131,S3352,T3787
132,S3352,T3806
133,S3352,T3812
134,S3352,T4040
135,S3352,T4044
136,S3352,T4072
137,S3352,T4124
138,S3352,T4266
139,S3352,T4531
140,S3352,T2398
141,S3352,T2693
142,S3352,T3456
143,S3352,T3614
144,S3352,T24
145,S3352,T742
146,S3352,T1808
147,S3352,T2264
148,S3352,T2323
149,S3352,T2660
150,S3352,T3854
151,S3352,T3910
152,S3352,T4276
153,S3352,T4338
154,S3352,T1166
155,S3352,T2135
156,S3352,T2297
157,S3352,T3274
158,S3352,T4483
159,S3352,T3976
160,S3352,T42
161,S3352,T3813
162,S3352,T47
163,S3352,T53
164,S3352,T4764
165,S3352,T784
166,S3352,T2547
167,S3352,T2972
168,S3352,T66
169,S3352,T4588
170,S3352,T3479
171,S3352,T3498
172,S3352,T71
173,S3352,T87
174,S3352,T2256
175,S3352,T2790
176,S3352,T90
177,S3352,T1596
178,S3352,T68
179,S3352,T2440
180,S3352,T2654
181,S3352,T3145
182,S3352,T3634
183,S3352,T3691
184,S3352,T4211
185,S3352,T122
186,S3352,T1247
187,S3352,T2700
188,S3352,T2747
189,S3352,T1972
190,S3352,T2356
191,S3352,T1733
192,S3352,T1935
193,S3352,T2713
194,S3352,T203
195,S3352,T291
196,S3352,T2326
197,S3352,T3664
198,S3352,T3969
199,S3352,T4534
200,S3352,T3796
201,S3352,T383
202,S3352,T457
203,S3352,T4488
204,S3352,T521
205,S3352,T546
206,S3352,T556
207,S3352,T695
208,S3352,T766
209,S3352,T2658
210,S3352,T4219
211,S3352,T4355
212,S3352,T842
213,S3352,T879
214,S3352,T988
215,S3352,T1113
216,S3352,T1132
217,S3352,T1133
218,S3352,T1342
219,S3352,T1184
220,S3352,T1691
221,S3352,T1767
222,S3352,T1795
223,S3352,T1922
224,S3352,T1924
225,S3352,T1951
226,S3352,T1980
227,S3352,T2009
228,S3352,T2010
229,S3352,T2033
230,S3352,T2118
231,S3352,T2186
232,S3352,T2226
233,S3352,T2041
234,S3352,T2298
235,S3352,T2368
236,S3352,T2699
237,S3352,T2688
238,S3352,T2691
239,S3352,T2706
240,S3352,T2832
241,S3352,T2906
242,S3352,T2907
243,S3352,T2947
244,S3352,T2967
245,S3352,T3001
246,S3352,T3032
247,S3352,T3057
248,S3352,T3110
249,S3352,T2003
250,S3352,T3168
251,S3352,T3190
252,S3352,T3252
253,S3352,T3290
254,S3352,T3350
255,S3352,T3366
256,S3352,T3378
257,S3352,T3388
258,S3352,T3402
259,S3352,T3406
260,S3352,T3449
261,S3352,T3457
262,S3352,T3462
263,S3352,T3472
264,S3352,T3519
265,S3352,T3527
266,S3352,T3569
267,S3352,T3591
268,S3352,T3622
269,S3352,T3641
270,S3352,T3647
271,S3352,T3658
272,S3352,T3659
273,S3352,T3662
274,S3352,T3663
275,S3352,T3665
276,S3352,T3666
277,S3352,T3667
278,S3352,T3689
279,S3352,T3728
280,S3352,T3902
281,S3352,T3917
282,S3352,T3965
283,S3352,T3982
284,S3352,T4036
285,S3352,T4045
286,S3352,T4046
287,S3352,T4077
288,S3352,T4066
289,S3352,T4104
290,S3352,T4119
291,S3352,T4076
292,S3352,T4142
293,S3352,T4150
294,S3352,T4151
295,S3352,T4152
296,S3352,T4222
297,S3352,T4224
298,S3352,T4363
299,S3352,T4443
300,S3352,T4486
301,S3352,T4564
302,S3352,T4586
303,S3352,T4598
304,S3352,T4623
305,S3352,T4688
306,S3352,T4742
307,S3352,T4746
308,S3352,T4751
309,S3352,T4760
310,S3352,T4761
311,S3352,T4762
312,S3352,T4763
313,S3352,T4765
314,S3352,T4771
315,S3352,T4766
316,S5254,T30
317,S5254,T127
318,S5254,T600
319,S5254,T232
320,S5254,T259
321,S5254,T789
322,S5254,T791
323,S5254,T1055
324,S5254,T1497
325,S5254,T1549
326,S5254,T1701
327,S5254,T4792
328,S5254,T5697
329,S5254,T637
330,S5254,T749
331,S5254,T1717
332,S5254,T72
333,S5254,T1075
334,S5254,T1111
335,S5254,T1151
336,S5254,T1353
337,S5254,T1374
338,S5254,T1835
339,S5254,T1847
340,S5254,T2145
341,S5254,T2240
