0,1
S1,T2
S1,T3
S1,T4
S2,T1
S2,T5
S2,T4
S3,T1
S3,T6
S3,T7
S3,T9
S3,T10
S4,T1
S4,T2
S4,T5
S4,T12
S4,T19
S4,T22
S5,T2
S5,T6
S5,T4
S6,T5
S6,T3
S6,T7
S6,T8
S7,T6
S7,T3
S7,T8
S8,T6
S8,T7
S8,T11
S8,T12
S8,T13
S9,T3
S9,T17
S9,T10
S10,T3
S10,T17
S10,T9
S11,T8
S11,T14
S11,T15
S12,T8
S12,T21
S12,T4
S13,T8
S13,T18
S13,T22
S14,T11
S14,T15
S14,T16
S15,T11
S15,T14
S15,T17
S16,T14
S16,T18
S16,T20
S17,T15
S17,T18
S17,T19
S17,T9
S17,T10
S18,T17
S18,T16
S18,T20
S18,T21
S18,T13
S19,T17
S19,T4
S19,T22
S20,T18
S20,T16
S20,T21
S21,T18
S21,T20
S21,T12
S22,T4
S22,T19
S22,T13
