0,1
S4,T0
S4,T27
S4,T46
S4,T50
S4,T58
S4,T59
S4,T71
S4,T77
S4,T86
S4,T87
S4,T89
S4,T24
S4,T37
S4,T56
S4,T61
S4,T64
S4,T79
S4,T88
S4,T3
S4,T30
S4,T16
S4,T25
S4,T48
S4,T53
S4,T55
S4,T149
S4,T179
S4,T243
S4,T293
S4,T401
S0,T4
S0,T9
S0,T11
S0,T13
S0,T18
S0,T27
S0,T29
S0,T33
S0,T38
S0,T45
S0,T46
S0,T50
S0,T57
S0,T58
S0,T59
S0,T71
S0,T74
S0,T76
S0,T77
S0,T85
S0,T86
S0,T87
S0,T202
S0,T315
S0,T341
S0,T374
S9,T18
S9,T46
S9,T76
S9,T85
S9,T87
S9,T2
S9,T24
S9,T42
S9,T56
S9,T61
S9,T64
S9,T79
S9,T88
S9,T90
S9,T15
S9,T48
S9,T55
S9,T14
S9,T65
S9,T109
S9,T126
S9,T279
S9,T394
S11,T13
S11,T27
S11,T46
S11,T74
S11,T1
S11,T20
S11,T21
S11,T26
S11,T40
S11,T51
S11,T52
S11,T66
S11,T89
S11,T24
S11,T68
S11,T82
S11,T30
S11,T422
S11,T48
S11,T7
S11,T439
S11,T65
S11,T10
S11,T12
S11,T75
S11,T84
S11,T329
S11,T336
S11,T383
S13,T11
S13,T59
S13,T17
S13,T20
S13,T73
S13,T64
S13,T68
S13,T90
S13,T8
S13,T15
S13,T16
S13,T53
S13,T55
S13,T44
S13,T12
S13,T84
S13,T117
S13,T355
S18,T0
S18,T9
S18,T27
S18,T46
S18,T50
S18,T57
S18,T59
S18,T74
S18,T17
S18,T26
S18,T73
S18,T89
S18,T2
S18,T37
S18,T42
S18,T54
S18,T56
S18,T61
S18,T68
S18,T79
S18,T25
S18,T48
S18,T55
S18,T43
S18,T28
S27,T4
S27,T57
S27,T59
S27,T74
S27,T76
S27,T77
S27,T26
S27,T31
S27,T52
S27,T24
S27,T61
S27,T68
S27,T82
S27,T88
S27,T90
S27,T25
S27,T48
S27,T55
S27,T128
S27,T367
S27,T10
S27,T448
S27,T138
S27,T391
S27,T400
S27,T423
S29,T51
S29,T6
S29,T69
S33,T74
